inst#,actual,predicted,error,prediction,tweet
1,1:?,2:1,,0.68,'close ctrp 4616 4355 entry 66'
2,1:?,2:1,,0.97,'every reason bullish'
3,1:?,2:1,,0.74,'panw need anoth 1 time high'
4,1:?,2:1,,1,'long setup'
5,1:?,2:1,,0.98,'solid long term investmen passive added sbux today income'
6,1:?,1:-1,,0.92,recall
7,1:?,2:1,,1,'marriott wins new starwood deal raising cash portion bid'
8,1:?,2:1,,0.85,'time embrace dividend growth'
9,1:?,1:-1,,0.877,'bullshit applestores empty chinams must preparing liquidate aapl'
10,1:?,2:1,,1,'5star analyst robert derrington wunderlich reiterated buy'
11,1:?,2:1,,0.97,'excited big value hoping'
12,1:?,2:1,,0.85,'oil break outadding chevron'
13,1:?,2:1,,0.98,'unusual call activity'
14,1:?,2:1,,0.82,'chinas tourist bonanza isnt going anywhere'
15,1:?,2:1,,0.7,015
16,1:?,1:-1,,0.53,'not guaranteed'
17,1:?,2:1,,0.95,'potential continuation uptrend'
18,1:?,2:1,,0.93,longed
19,1:?,1:-1,,0.75,'absolute garbage still upstores totally emptystock mispriced'
20,1:?,2:1,,1,'buy dip'
21,1:?,1:-1,,0.73,'weakest todays dt watchlist'
22,1:?,1:-1,,0.88,'see reasons cautious'
23,1:?,1:-1,,0.76,breaking
24,1:?,1:-1,,0.81,'bbry smack down looks legitimategs msare playing ignorant'
25,1:?,2:1,,0.94,'swing trade looks like want go up'
26,1:?,1:-1,,0.73,'add short'
27,1:?,2:1,,0.95,nice
28,1:?,1:-1,,0.87,'verified 9895 loss endp trades'
29,1:?,2:1,,0.95,'loving volume'
30,1:?,2:1,,0.82,'hod buyers stepped'
31,1:?,2:1,,0.85,'clearing back above 50 daynext buy add area clears upper trend line volume'
32,1:?,2:1,,0.77,'eems respecting channel'
33,1:?,2:1,,1,'sector stocks leading today'
34,1:?,1:-1,,1,overbought
35,1:?,2:1,,0.583,'look fb live video roll tough space'
36,1:?,2:1,,0.91,'kodak could pick up christmas write taxes'
37,1:?,1:-1,,0.86,'theyll whip back down'
38,1:?,2:1,,0.81,'plus irish based getting rid generic biz'
39,1:?,2:1,,0.7,3037
40,1:?,2:1,,0.742,'top net pay out yields'
41,1:?,1:-1,,0.84,'got sell signal 7114 still force target below 150'
42,1:?,1:-1,,0.59,'buy not end world'
43,1:?,2:1,,0.93,'future bright'
44,1:?,1:-1,,0.52,'bulls careful'
45,1:?,2:1,,0.9,'577 added 576 pb'
46,1:?,2:1,,0.93,'may ripe takeover targe'
47,1:?,2:1,,1,'top 5 stock picks'
48,1:?,2:1,,0.84,'tomorrow morning likely open north'
49,1:?,2:1,,1,'unusual call activity'
50,1:?,2:1,,0.76,'iraq boosts oil production record'
51,1:?,1:-1,,0.72,'failed breakouts failed setups limping crutches next week'
52,1:?,2:1,,0.81,'takeover interest'
53,1:?,2:1,,0.78,'endp shares rattled'
54,1:?,2:1,,1,'buy csx ride railroads'
55,1:?,2:1,,0.582,'fb aapl'
56,1:?,1:-1,,1,'downgrade er'
57,1:?,2:1,,0.97,'good opportunity buy'
58,1:?,1:-1,,0.96,'insy lower'
59,1:?,2:1,,0.97,'nice day rally'
60,1:?,2:1,,0.99,'popping up hod'
61,1:?,1:-1,,0.9,'large players selling'
62,1:?,2:1,,0.81,'finally broke free big brothers shadow'
63,1:?,2:1,,0.99,'buy back shares'
64,1:?,2:1,,0.67,'insider trading clair st unloaded 5838 shares'
65,1:?,2:1,,0.64,'files lawsuit verizon'
66,1:?,2:1,,0.96,'looks solid 2016 high teens eps growth'
67,1:?,1:-1,,0.82,'fit sune not changed'
68,1:?,2:1,,0.74,'doubled number'
69,1:?,2:1,,0.98,'positive top notch investor dd trusted'
70,1:?,2:1,,1,'best stocks 2012'
71,1:?,2:1,,0.7,'addednew subscribers'
72,1:?,1:-1,,0.8,'market seems like roll here look below'
73,1:?,2:1,,0.88,'apples category win'
74,1:?,2:1,,0.75,'bullish story intact even market rolls'
75,1:?,1:-1,,0.79,'continues base debate linger downside limited'
76,1:?,2:1,,0.93,'updated core4 portfolio'
77,1:?,2:1,,0.58,'news nothing left dont keep anymor'
78,1:?,2:1,,1,'highest call put ratio'
79,1:?,2:1,,0.96,toprated
80,1:?,2:1,,1,'current holdings via options long'
81,1:?,2:1,,1,'watchlist top stocks'
82,1:?,2:1,,0.74,'could testing 425 days'
83,1:?,2:1,,0.7,'bhp 304'
84,1:?,1:-1,,0.91,'time stomp dreams'
85,1:?,1:-1,,0.98,sold
86,1:?,2:1,,0.55,'arrg go round 2'
87,1:?,1:-1,,0.98,'short term fundredemption liquidations'
88,1:?,1:-1,,0.87,'fb down 75 bearish patternimpressive bearish move'
89,1:?,2:1,,0.81,'largest online gaming market'
90,1:?,2:1,,0.79,'would like see upside break channel week'
91,1:?,1:-1,,0.93,'european debt keeps stocks down'
92,1:?,1:-1,,0.93,'lookin 4 short opt'
93,1:?,2:1,,0.933,'long fb'
94,1:?,2:1,,0.51,'still real movement im sidelines'
95,1:?,1:-1,,0.78,'another great day millions gain shorts get caught tall grass'
96,1:?,2:1,,0.86,'moves up tr1 long watchlist'
97,1:?,2:1,,0.59,'laggard nothing get excited imois underperforming market'
98,1:?,2:1,,0.91,'google ibm arm amd begin assault intels server franchise'
99,1:?,1:-1,,0.97,'weak outlook'
100,1:?,2:1,,0.7,'join dow jones monthreplacing'
101,1:?,2:1,,0.99,'bullish stocks twitter dip'
102,1:?,1:-1,,0.72,red
103,1:?,2:1,,0.8,'accumulated day'
104,1:?,2:1,,1,'ses warrants buy 117b 1497 amerisourcebergenpbr16 shares'
105,1:?,2:1,,0.76,'iraq boosts oil production record'
106,1:?,1:-1,,0.94,'biggest market losers'
107,1:?,2:1,,0.93,'added bbbystill profitable merchant profitable stores'
108,1:?,1:-1,,0.94,'stochastic sell signal'
109,1:?,2:1,,1,'huge buy names'
110,1:?,1:-1,,0.97,'max pain 10100'
111,1:?,2:1,,0.69,'oil 276'
112,1:?,2:1,,0.95,'everyone buying calls eod friday'
113,1:?,1:-1,,0.94,'consumers keep cautious stance'
114,1:?,2:1,,0.96,'decent supt hereexpect upside'
115,1:?,1:-1,,0.95,'swing short'
116,1:?,1:-1,,0.8,'short setups looking nicereally nice'
117,1:?,1:-1,,0.86,'new large player sells'
118,1:?,2:1,,0.93,'must exciting'
119,1:?,1:-1,,0.65,'down day week month year'
120,1:?,2:1,,0.95,'aapl interesting positive stories coming past day'
121,1:?,1:-1,,0.89,plunged
122,1:?,2:1,,0.98,'equity indexes working positive engulfing march'
123,1:?,2:1,,1,'hope okay'
124,1:?,1:-1,,0.72,'consumers keep cautious stance'
125,1:?,2:1,,0.88,'upcoming first support days weeks'
126,1:?,2:1,,0.9,'earnings growth looks dim current multiple high'
127,1:?,2:1,,0.99,'multiyear stock breakouts'
128,1:?,2:1,,0.52,'timing everything time canna security america'
129,1:?,2:1,,0.99,'could see nice pop bids come higher expected'
130,1:?,2:1,,0.95,'pushing highs'
131,1:?,1:-1,,0.79,'turns back down early trading'
132,1:?,2:1,,0.95,'resuming advance new historical highs'
133,1:?,2:1,,0.85,'liking upside break'
134,1:?,1:-1,,0.55,'not pretty longer look'
135,1:?,1:-1,,0.9,'oil slid fouryear low afteropec kept oil production unchange'
136,1:?,2:1,,0.76,'flat week'
137,1:?,2:1,,0.89,'eod run'
138,1:?,2:1,,1,long
139,1:?,1:-1,,1,'another sell rating'
140,1:?,1:-1,,0.617,'aapl could jump 50 partnering tsla'
141,1:?,2:1,,0.99,'china february retail sales ecommerce remains resilient'
142,1:?,2:1,,1,'top 5 stock picks'
143,1:?,2:1,,1,long
144,1:?,2:1,,0.87,'todays momentum movers'
145,1:?,2:1,,1,trending
146,1:?,2:1,,0.9,'looking strong bounce lunchtime rally coming'
147,1:?,2:1,,1,'stocks higher afternoon trade'
148,1:?,2:1,,0.9,'time go long amzn'
149,1:?,2:1,,0.96,'first quarter amazing'
150,1:?,2:1,,0.9,'ftnt new high'
151,1:?,2:1,,0.75,'technologyhelp users'
152,1:?,2:1,,0.73,'next resistance around'
153,1:?,1:-1,,0.71,'bulls defend'
154,1:?,1:-1,,0.72,'broken downtrend'
155,1:?,1:-1,,1,'slips downgrade'
156,1:?,2:1,,1,long
157,1:?,2:1,,0.99,'pie sky'
158,1:?,2:1,,0.93,'hottest part techsbux deal'
159,1:?,2:1,,0.63,'great company needs buyers'
160,1:?,2:1,,1,'added long friday close'
161,1:?,2:1,,0.98,'ief bullish tlt'
162,1:?,2:1,,0.92,'back saddle'
163,1:?,2:1,,0.99,'one go long money rotating large cap tech'
164,1:?,1:-1,,0.76,'seeing competition'
165,1:?,1:-1,,0.88,'see reasons cautious'
166,1:?,2:1,,0.84,'up another 03 ahit long way go find resistence'
167,1:?,2:1,,0.98,'3 top japan etfs surge higher 2h'
168,1:?,2:1,,0.98,'unusual call activity'
169,1:?,1:-1,,0.963,'ron johnson tried failed inject bit apple culture jc penney'
170,1:?,2:1,,0.96,'premier retail dividend play'
171,1:?,2:1,,0.98,'blackberry messenger second facebook user loyalty'
172,1:?,2:1,,0.98,'up sale'
173,1:?,2:1,,0.91,'nice fade bell'
174,1:?,1:-1,,1,'stochastic overbought'
175,1:?,2:1,,0.76,'wfm may feel price competition'
176,1:?,1:-1,,0.87,'users vetr bearish indicating sell rating'
177,1:?,2:1,,0.97,'up 1'
178,1:?,2:1,,0.96,breakouts
179,1:?,1:-1,,0.92,recall
180,1:?,1:-1,,1,'stochastic overbought'
181,1:?,1:-1,,0.56,'sell ratingin need innovation'
182,1:?,2:1,,0.95,'buying opportunity'
183,1:?,1:-1,,0.57,'like tsla end'
184,1:?,2:1,,0.94,'google soon start selling chromebooks walmart staples'
185,1:?,1:-1,,0.55,'analysts martian orders way high theyll never hit'
186,1:?,2:1,,0.95,'massive new jd headquarters okay detected'
187,1:?,2:1,,0.95,'nice little cupandhandle shaping upfavours good day index'
188,1:?,2:1,,0.99,'pie sky'
189,1:?,2:1,,1,'inside week buy triggers'
190,1:?,2:1,,0.99,'stocks insiders bullish'
191,1:?,2:1,,1,'moving up'
192,1:?,1:-1,,0.98,'recessions declines'
193,1:?,2:1,,0.79,'google dividend 0'
194,1:?,1:-1,,0.84,'gets nasdaq delisting noticeboard quit diluting shares'
195,1:?,2:1,,1,'quality stocks high cash returns'
196,1:?,2:1,,0.52,'finally right time invest national bank greeceire'
197,1:?,2:1,,0.72,'loves sees'
198,1:?,2:1,,0.74,'bounce retreats okay means'
199,1:?,2:1,,0.86,'still wants higher think'
200,1:?,2:1,,0.68,'crazy market up down up down up down'
201,1:?,2:1,,1,'inside week buy triggers'
202,1:?,2:1,,0.64,'insiders got one wronglooking bottomrsi 30'
203,1:?,2:1,,0.96,'good comeback'
204,1:?,2:1,,0.95,'sh got potential'
205,1:?,2:1,,0.7,'eading 200dma certain doom'
206,1:?,2:1,,0.85,'oil break outadding chevron'
207,1:?,1:-1,,0.89,stopped
208,1:?,2:1,,0.9,'potential continuation uptrend'
209,1:?,2:1,,0.88,'spikes lowslower go'
210,1:?,1:-1,,0.94,'amba down'
211,1:?,2:1,,1,'must buy'
212,1:?,1:-1,,0.93,'adbe shorted 1 short float'
213,1:?,2:1,,0.7,gusta
214,1:?,2:1,,0.91,'rally fridaynew52weekhighsp 31'
215,1:?,1:-1,,0.91,'tsla news notokay'
216,1:?,2:1,,0.91,'delivering goods lets see spill chinese internet names'
217,1:?,1:-1,,0.98,'companies shld worried icloud'
218,1:?,2:1,,0.86,'gevos alcohol jet fuel eligible used commercial flight'
219,1:?,2:1,,0.893,'fb gone green day'
220,1:?,2:1,,0.77,'incy 100'
221,1:?,2:1,,0.76,'iraq boosts oil production record'
222,1:?,2:1,,0.88,'expects earnings maintain healthy growth year ahead companys share price gained'
223,1:?,1:-1,,0.87,'sees downside 425'
224,1:?,2:1,,0.51,'citrix systems inc ctxs position increased mizuho'
225,1:?,2:1,,0.76,'nice buyable intraday dip right'
226,1:?,2:1,,0.86,'gevos alcohol jet fuel eligible used commercial flight'
227,1:?,1:-1,,0.95,'lose least 1bmay notokay another year'
228,1:?,2:1,,0.69,'waterfall ahead'
229,1:?,2:1,,0.81,'unusual call activity'
230,1:?,2:1,,0.97,'nice day rally'
231,1:?,1:-1,,0.81,'bbry smack down looks legitimategs msare playing ignorant'
232,1:?,2:1,,0.97,'13f shows new stakes'
233,1:?,2:1,,0.93,'aaplhad big growing success years'
234,1:?,2:1,,0.93,'still positive market biassharp rally lowquality stocks points ongoing market gains'
235,1:?,1:-1,,0.93,'sell nflx'
236,1:?,2:1,,0.7,'frs restaurants 24759'
237,1:?,1:-1,,0.96,'cuts outlook down'
238,1:?,1:-1,,0.99,'cracking lower early short correction'
239,1:?,2:1,,1,'current holdings via options long'
240,1:?,2:1,,0.97,'biggest gainers today large caps'
241,1:?,2:1,,0.85,'new macd signal created'
242,1:?,1:-1,,0.52,'aapl cleary surpassed bb'
243,1:?,1:-1,,0.51,'broke descending channel'
244,1:?,1:-1,,0.89,'complex challenges'
245,1:?,2:1,,0.98,'markets back black 2016'
246,1:?,1:-1,,0.94,'biggest market losers'
247,1:?,2:1,,0.8,'nice pop todaytold ya would green'
248,1:?,1:-1,,0.95,'deutsche bank downgraded starbucks co'
249,1:?,2:1,,0.76,'ams ahold 5'
250,1:?,2:1,,0.95,'rise 2morrow'
251,1:?,2:1,,0.64,'looking add gold miner possibly lower pe tech name close'
252,1:?,2:1,,0.8,'sucker ralliesdown trend'
253,1:?,2:1,,0.79,'shares climb'
254,1:?,2:1,,0.98,'looks good'
255,1:?,2:1,,0.6,'pivot area intraday chart'
256,1:?,2:1,,0.8,'diversifies riskbest place world'
257,1:?,1:-1,,0.87,'think tsla bubble might go time'
258,1:?,2:1,,0.82,'private equity yahoo bid'
259,1:?,2:1,,0.85,'oil break outadding chevron'
260,1:?,2:1,,0.72,'anglo american jumps 9'
261,1:?,2:1,,0.84,'raises revenue forecast'
262,1:?,1:-1,,0.57,'market lot faith ecb'
263,1:?,2:1,,0.81,'largest online gaming market'
264,1:?,1:-1,,0.96,'cuts outlook down'
265,1:?,2:1,,0.75,'little pullback'
266,1:?,2:1,,0.91,'possible target'
267,1:?,1:-1,,0.94,'short sighted sellers sorry soon'
268,1:?,2:1,,0.73,'lpth hot'
269,1:?,2:1,,0.91,'likely strongly benefit genetherapy'
270,1:?,2:1,,0.99,'good load up confident'
271,1:?,2:1,,0.85,'congrats whoever bought'
272,1:?,2:1,,0.71,'fb 20 times advertisers twtr'
273,1:?,1:-1,,0.97,'weak outlook'
274,1:?,2:1,,0.73,'tensions grow china japan'
275,1:?,2:1,,0.64,'looking add gold miner possibly lower pe tech name close'
276,1:?,2:1,,0.7,'investment validates company'
277,1:?,1:-1,,0.83,'tsla not available shorting time w'
278,1:?,2:1,,1,'quality stocks high cash returns'
279,1:?,1:-1,,0.72,'broken stockdownside possibilityi initiate new short position'
280,1:?,1:-1,,0.61,'finally breaking 49 mano buybacks week'
281,1:?,2:1,,0.65,'eros gets clean bill health audit'
282,1:?,2:1,,0.86,'shopping spree may continue'
283,1:?,1:-1,,0.912,'wont pay anymorereal risk'
284,1:?,2:1,,0.96,'adding expe pcln mix sooni already ctrp trip'
285,1:?,2:1,,1,'strong buy'
286,1:?,2:1,,0.99,'eps up 19 quarter last year'
287,1:?,2:1,,1,'unusual call activity'
288,1:?,2:1,,1,'4star analyst scott henry roth capital reiterated buy'
289,1:?,1:-1,,0.52,'im going tomorrow evening'
290,1:?,2:1,,0.727,'fb squeezing one side'
291,1:?,2:1,,0.568,'sees apple 150share year 36 today'
292,1:?,2:1,,0.79,'tomorrow might rare buy tsla day'
293,1:?,2:1,,0.81,'play tmrw'
294,1:?,2:1,,0.95,'195 calls 78'
295,1:?,2:1,,1,'unusual call activity'
296,1:?,2:1,,0.52,'calls getting hottoday getting paid'
297,1:?,1:-1,,0.77,'still not breaking'
298,1:?,2:1,,0.7,'fxi 293'
299,1:?,2:1,,0.78,'facebook trying get payments'
300,1:?,2:1,,0.96,'excited plays'
301,1:?,2:1,,0.76,'get ground floor fio'
302,1:?,2:1,,0.89,'91 support'
303,1:?,2:1,,0.97,'reat comeback amzn great comeback amzn'
304,1:?,2:1,,0.88,'new high 2016'
305,1:?,2:1,,0.82,'still track 500'
306,1:?,1:-1,,0.94,'gaps down probly open get worse puts stupid cheap'
307,1:?,2:1,,1,'unusual call activity'
308,1:?,2:1,,0.86,'daily mail may yahoo'
309,1:?,2:1,,1,'top stocks 2015 ready lead 2016'
310,1:?,1:-1,,0.95,'not getting inoil falling'
311,1:?,2:1,,0.74,'competing bids emerge permit board explore value enhancing alternatives objective maximizing'
312,1:?,2:1,,0.89,'resurgence stock price today might mean company may emerge stronger ever'
313,1:?,2:1,,0.99,'supermarket stocks rally tesco plans axe noncore uk assets'
314,1:?,2:1,,1,'long buying point'
315,1:?,1:-1,,0.85,'bear raid'
316,1:?,1:-1,,1,'trading weak vs spy qqq'
317,1:?,1:-1,,1,short
318,1:?,2:1,,0.92,'expects strong results'
319,1:?,2:1,,0.54,'calx 40'
320,1:?,2:1,,0.9,'one obvious opportunities year'
321,1:?,2:1,,1,'holding up relatively well compared broad market'
322,1:?,1:-1,,0.88,'would rather buyer ugaz levels trying sell'
323,1:?,1:-1,,0.51,'go up much higher drop'
324,1:?,1:-1,,0.96,'dumped pypl prlb'
325,1:?,2:1,,0.92,'real deal hereholding'
326,1:?,1:-1,,0.9,'large players selling'
327,1:?,2:1,,0.97,'yahoo extends bidding deadline interest grows'
328,1:?,2:1,,1,'could offer support revisit jump long bus'
329,1:?,2:1,,1,'new positive timing signal'
330,1:?,2:1,,0.87,'bring good news time'
331,1:?,2:1,,0.9,'shareholders welcome marriottstarwood deal'
332,1:?,2:1,,0.84,'big winnerlong'
333,1:?,1:-1,,0.76,'short holding breath hoping miracle'
334,1:?,2:1,,0.92,back
335,1:?,1:-1,,0.79,'market seems like roll herelook below'
336,1:?,2:1,,0.93,'led light bulb prices rise japan'
337,1:?,2:1,,0.77,'100 upside left next 6 mnths'
338,1:?,1:-1,,0.96,'bears take clear near term advantage'
339,1:?,2:1,,0.923,'topeka capital markets thinks sois fb buy'
340,1:?,2:1,,1,'unusual call activity'
341,1:?,1:-1,,0.62,'one want miss great newpatent new nxt wk'
342,1:?,2:1,,0.99,'bullish stocks twitter dip'
343,1:?,1:-1,,0.827,'loading spy aapl putsthink toppy'
344,1:?,2:1,,0.79,'airlines battle cuba routes aal luv save jblu'
345,1:?,2:1,,0.54,'pullback time'
346,1:?,1:-1,,0.76,'another 30 bbry 16 weekly puts'
347,1:?,1:-1,,0.78,'red bell'
348,1:?,1:-1,,0.563,'fb taking shine aapl goog'
349,1:?,2:1,,0.93,'rally mode'
350,1:?,1:-1,,1,'short setups looking nicereally nice'
351,1:?,1:-1,,0.85,'becoming disaster better returns elsewhere'
352,1:?,2:1,,0.7,'entry ideacoming narrow intraday range yesterdays high still above'
353,1:?,1:-1,,0.657,'aapl killed former killing latter'
354,1:?,2:1,,0.97,'best stock wts 15'
355,1:?,1:-1,,0.92,'insider selling probably reason'
356,1:?,2:1,,0.9,'looking hmc stock make new 2013 high'
357,1:?,2:1,,0.96,'330 decreased bullish conversations'
358,1:?,2:1,,0.95,'breakout watch'
359,1:?,1:-1,,1,'insiders selling'
360,1:?,2:1,,1,'strong weekly led buy rec last weekdaily rs improving'
361,1:?,2:1,,0.88,'trails msft orcl goog crm adbe'
362,1:?,2:1,,0.7,'cytr af bashing'
363,1:?,2:1,,0.59,'amgn one year laterim tired waiting'
364,1:?,1:-1,,0.9,'right reject offer'
365,1:?,1:-1,,0.68,'bot ung puts'
366,1:?,2:1,,0.719,'right top thre cloud'
367,1:?,2:1,,0.97,'buying tza calls'
368,1:?,2:1,,0.94,'closed friday rs line new highs'
369,1:?,2:1,,0.97,'rising steel demand higher prices steel coalcash magnet'
370,1:?,2:1,,0.99,'pie sky'
371,1:?,2:1,,0.99,'fed cuts rates forecastour calls go 100'
372,1:?,1:-1,,0.51,'adding puts'
373,1:?,2:1,,0.87,'anyone stayed long aapl made plenty'
374,1:?,1:-1,,0.53,'like one lot'
375,1:?,2:1,,1,'unusual call activity'
376,1:?,1:-1,,0.91,'actually lost 03c per share'
377,1:?,2:1,,0.93,'updated core4 portfolio'
378,1:?,2:1,,0.82,'dips bought up real quick'
379,1:?,2:1,,1,'highest call put ratio'
380,1:?,1:-1,,0.59,'downside breakout  notokay looks coming soon'
381,1:?,1:-1,,0.66,'equities recently tagged undervalued'
382,1:?,1:-1,,0.9,'maintains neutral rating jp morganpt cut'
383,1:?,2:1,,0.89,'heapest stock pe television services industrype 818 vsavg 26864779'
384,1:?,2:1,,0.95,'hell yeah ill take fill day long baby'
385,1:?,2:1,,0.81,'pot cont uptrend longerterm'
386,1:?,2:1,,0.78,'break confirmedbought leaps'
387,1:?,2:1,,1,'perfect buy'
388,1:?,2:1,,1,'long gpro brealout trade'
389,1:?,2:1,,0.82,'digital strategy drive significant growth customer loyalty'
390,1:?,2:1,,1,'double bottomhandle buy point'
391,1:?,2:1,,0.9,'stock options trade would doubled money'
392,1:?,2:1,,0.88,'companys tech works better load up'
393,1:?,2:1,,0.611,'report apple signs up googles cloud'
394,1:?,2:1,,0.89,'run forest run'
395,1:?,2:1,,1,'aggressive buy'
396,1:?,2:1,,0.51,'year launch its clear pretty much one needs aapl watch'
397,1:?,2:1,,0.97,'bullish reversal setup breakout'
