inst#,actual,predicted,error,prediction,tweet
398,1:?,2:1,,0.7,'nflx holding gain'
399,1:?,1:-1,,0.95,'worst performers today ek 10'
400,1:?,2:1,,0.803,'guess aapl buys back aftercatch pinners guard'
401,1:?,1:-1,,0.99,'todays losers'
402,1:?,1:-1,,0.82,'bearish outside day'
403,1:?,2:1,,0.85,'commodity channel index indicator signaled oversold'
404,1:?,2:1,,0.97,'cant get back above 21220'
405,1:?,2:1,,0.75,'launching shopping botcatalyst 2016 catalyst 2016'
406,1:?,1:-1,,0.75,'yeah lets go down'
407,1:?,2:1,,0.92,'held belowdouble top'
408,1:?,1:-1,,0.5,'above lower bollinger band'
409,1:?,2:1,,0.82,'heeeeeere comes pumpso glad picked up 9k end dayget ready bull ride'
410,1:?,2:1,,1,'airplane hospitality industries set sights cuba'
411,1:?,2:1,,1,'sector stocks leading today'
412,1:?,2:1,,0.94,'impressive numbers'
413,1:?,2:1,,0.73,'trying break 50day sma'
414,1:?,2:1,,0.98,'still holding 226 yday'
415,1:?,2:1,,0.86,'hopefully pull back'
416,1:?,2:1,,0.86,'looking healthy pull back longterm target 8'
417,1:?,1:-1,,0.74,'lost huge still hopeful'
418,1:?,1:-1,,0.91,'rejected hodshould head lower'
419,1:?,1:-1,,0.77,'shortput positions looking good herewait market downturn confirm'
420,1:?,1:-1,,0.96,'shorting pig'
421,1:?,2:1,,0.85,'oil break outadding chevron'
422,1:?,1:-1,,0.7,'till failing close above 10d macontinues stand weak'
423,1:?,2:1,,1,'five stocks helped starboard values equity portfolio return 65 q1'
424,1:?,1:-1,,0.91,'active puts'
425,1:?,1:-1,,0.62,'deutsche bank cuts sbux'
426,1:?,2:1,,1,'sector stocks leading today'
427,1:?,2:1,,0.96,'breakout today reporting earnings last night'
428,1:?,1:-1,,0.8,'short setups looking nicereally nice'
429,1:?,1:-1,,0.93,'sold jan 2013 580 puts lows pull back'
430,1:?,2:1,,0.98,'orgetting potential relative value users'
431,1:?,2:1,,0.91,'letting calls ride solo'
432,1:?,2:1,,0.77,'amzn 128'
433,1:?,2:1,,0.7,'slw 168'
434,1:?,2:1,,0.91,'google ibm arm amd begin assault intels server franchise'
435,1:?,1:-1,,0.59,'buy not end world'
436,1:?,2:1,,0.707,'intu ises cloud software company'
437,1:?,2:1,,0.74,'sorry longs correction mode'
438,1:?,2:1,,1,longs
439,1:?,2:1,,0.81,'finally nice downside move looking 31 handle break'
440,1:?,2:1,,0.86,'take shot'
441,1:?,2:1,,0.91,'relief rally becomes belief rally'
442,1:?,1:-1,,0.92,'sell fb'
443,1:?,2:1,,0.68,'time buy'
444,1:?,1:-1,,0.86,'new large player sells'
445,1:?,2:1,,0.81,'largest online gaming market'
446,1:?,2:1,,0.97,'notable gainers among liquid option names morning'
447,1:?,1:-1,,0.68,'see big down day near future'
448,1:?,2:1,,1,longs
449,1:?,1:-1,,0.87,'hope crush'
450,1:?,2:1,,0.99,'china winners'
451,1:?,2:1,,1,'downbeaten stocks may ripe buys'
452,1:?,1:-1,,0.98,'oil prices down oil stocks looking less cheap'
453,1:?,2:1,,0.81,still
454,1:?,2:1,,0.87,'upper trend line approximate position 200dmabias up'
455,1:?,2:1,,0.99,'wow biocept among best 5 stocks'
456,1:?,2:1,,0.85,'up 33 since 625 buy signal'
457,1:?,2:1,,0.76,'increases annual dividend'
458,1:?,2:1,,1,'longerterm technical swing long basis'
459,1:?,2:1,,0.93,'may feed tsla momentum run lately'
460,1:?,1:-1,,1,overbought
461,1:?,2:1,,0.89,support
462,1:?,1:-1,,0.79,'looks set fall'
463,1:?,2:1,,0.77,'pretty steady accumulation support'
464,1:?,1:-1,,1,'biggest market losers'
465,1:?,2:1,,1,'buy call'
466,1:?,2:1,,0.8,'closes near key support zone'
467,1:?,2:1,,0.66,'alibaba invests southeast asian retailer lazadabidu'
468,1:?,1:-1,,0.72,'getting wings clipped today'
469,1:?,2:1,,0.95,'staying above open good sign'
470,1:?,1:-1,,1,downgrade
471,1:?,1:-1,,0.95,'awful down'
472,1:?,2:1,,0.52,'getting killed csco calls'
473,1:?,2:1,,0.71,'support hope holds look'
474,1:?,1:-1,,0.84,'oasm grossly undervalued'
475,1:?,1:-1,,0.9,'thumb down farno likeit supported ipo maker'
476,1:?,2:1,,0.73,'could possibly even see425'
477,1:?,1:-1,,0.96,'putting little f short'
478,1:?,2:1,,0.92,'equities recently tagged undervalued'
479,1:?,2:1,,0.92,'nflx higher expecte'
480,1:?,1:-1,,0.8,'short notokay move conviction'
481,1:?,1:-1,,0.61,'failed breakouts failed setupslimping crutches next week'
482,1:?,2:1,,0.99,'long april 44 calls'
483,1:?,1:-1,,0.88,'sell signal hit atit go down next 5 min'
484,1:?,2:1,,0.62,'revenues 3281m vs 32818m est'
485,1:?,2:1,,0.93,'qqq watch close near hod'
486,1:?,1:-1,,0.65,'short workedputs up 50'
487,1:?,1:-1,,0.97,'sell googl'
488,1:?,2:1,,0.99,'bullish stocks twitter dip'
489,1:?,1:-1,,0.82,'stock consolidating accumulationwill funny see shorts get creamed'
490,1:?,2:1,,0.89,'put money hznp better option drug already make money'
491,1:?,1:-1,,0.9,'cautious u late party'
492,1:?,2:1,,1,long
493,1:?,1:-1,,0.51,'adding puts'
494,1:?,1:-1,,0.66,'yahoos getting lots attention'
495,1:?,1:-1,,0.98,'going down'
496,1:?,1:-1,,0.98,'monday sold'
497,1:?,2:1,,0.66,'windows 10 awful'
498,1:?,2:1,,0.95,'breakout watch'
499,1:?,2:1,,0.97,'looking good'
500,1:?,2:1,,0.98,'reward better good earnings'
501,1:?,2:1,,1,'record number passengers served 2015'
502,1:?,2:1,,0.65,'breaking 759 eyes 755next buy target 7375 down 732'
503,1:?,1:-1,,0.8,'worst stock 2015'
504,1:?,2:1,,1,'record number passengers served 2015'
505,1:?,2:1,,1,'long buying point'
506,1:?,1:-1,,0.61,'failed breakouts failed setupslimping crutches next week'
507,1:?,2:1,,1,'long buying point'
508,1:?,2:1,,0.82,'chinese adrs heading higher'
509,1:?,1:-1,,1,'another sell rating'
510,1:?,2:1,,0.97,'institutions seem like class stocks'
511,1:?,1:-1,,0.52,'people think safe market dropsnot'
512,1:?,1:-1,,0.877,'aapl losing'
513,1:?,2:1,,0.68,'bear flag hr chartget ready buy tha dip'
514,1:?,2:1,,0.87,'balance sheet value penney stock'
515,1:?,2:1,,1,'watchlist top stocks'
516,1:?,2:1,,1,'upgraded buy argus'
517,1:?,1:-1,,0.77,'weekly still 50 moving averagecreating lower high'
518,1:?,2:1,,0.97,'tock still green'
519,1:?,1:-1,,0.99,'bottom losses'
520,1:?,2:1,,1,'buy dip'
521,1:?,2:1,,0.84,'like christmas may'
522,1:?,2:1,,0.7,'fbs glorified scrapbook'
523,1:?,1:-1,,0.75,'going lowerforget go short'
524,1:?,1:-1,,1,'slips downgrade'
525,1:?,2:1,,0.62,'market tankingscaling down longs'
526,1:?,2:1,,0.95,oversold
527,1:?,2:1,,0.92,'looks like good entry qihu'
528,1:?,2:1,,0.89,'91 support'
529,1:?,2:1,,0.73,'tensions grow china japan'
530,1:?,2:1,,1,'play longs'
531,1:?,1:-1,,0.99,'bottom losses'
532,1:?,1:-1,,0.9,'chart shows distinctive down channel notokay'
533,1:?,2:1,,0.63,'churning high volumelots sellers trying get'
534,1:?,2:1,,0.59,'u think pandora game changer please check spotfy'
535,1:?,2:1,,0.89,'support 1250'
536,1:?,2:1,,0.99,'bullish stocks twitter dip'
537,1:?,2:1,,0.58,'ok short go long everyone win stock moves around'
538,1:?,2:1,,0.98,'pivotal sees 27 upside alphabet'
539,1:?,1:-1,,0.96,recalls
540,1:?,2:1,,0.78,'breaking good vol parser buy signal'
541,1:?,1:-1,,0.99,'bottom losses'
542,1:?,2:1,,0.72,'fb 34 vs 57'
543,1:?,1:-1,,0.83,'easy sell open every day'
544,1:?,1:-1,,0.97,'ended day down'
545,1:?,2:1,,1,'highest call put ratio'
546,1:?,2:1,,0.78,'intraday bo bull flagjnug'
547,1:?,2:1,,0.86,'google inc completes acquisition icoa'
548,1:?,1:-1,,0.87,'play 430 announcement sell'
549,1:?,2:1,,0.76,'break yet either direction'
550,1:?,2:1,,0.88,'go elsewhere'
551,1:?,2:1,,0.95,'patents look strong com'
552,1:?,1:-1,,0.84,'back underdarn shorts'
553,1:?,2:1,,1,'unusual call activity'
554,1:?,2:1,,0.95,'agree buy'
555,1:?,1:-1,,0.96,'baltic dry index lower 8 days 30 years'
556,1:?,2:1,,0.88,'stalled 10644 previously looking enter near 10650'
557,1:?,2:1,,1,'cmon bulls buy dips'
558,1:?,2:1,,0.92,buying
559,1:?,2:1,,0.81,'stock high probability rallying'
560,1:?,2:1,,0.87,'picked up calm target 57 gild target 115 great upside potential'
561,1:?,1:-1,,0.72,'sell sell sell short sell idiots leave em holding bag going end up like vrx worthless bloated pos'
562,1:?,1:-1,,0.51,'breakout above 2983 would constitute technical entry short term trader'
563,1:?,1:-1,,1,'red aapl dragging down qqq'
564,1:?,2:1,,0.97,'strong move today junior gold minerskeep eye gap fill'
565,1:?,2:1,,0.99,'china winners'
566,1:?,2:1,,0.74,'sorry longs correction mode'
567,1:?,1:-1,,1,short
568,1:?,2:1,,0.69,'good news coming ill hold thirty large'
569,1:?,2:1,,0.94,'nice see turn corner'
570,1:?,1:-1,,0.81,'crazy ceo marissa mayer would receive multiple millions dollars failing turn yhoo around'
571,1:?,2:1,,0.72,'drugs biotech getting perky'
572,1:?,1:-1,,0.61,'failed breakouts failed setupslimping crutches next week'
573,1:?,2:1,,0.84,'im still bullish'
574,1:?,1:-1,,0.86,'hit short term target 100 sma'
575,1:?,2:1,,0.81,'next long im eyeing'
576,1:?,2:1,,1,'maybe new buy program'
577,1:?,2:1,,0.98,'unusual call buying'
578,1:?,2:1,,1,'ascending triangle gives bullish bias chartbreakout above 84 positive'
579,1:?,2:1,,0.76,'iraq boosts oil production record'
580,1:?,1:-1,,0.94,'reasons caution chinese stocks'
581,1:?,1:-1,,0.8,'short setups looking nicereally nice'
582,1:?,2:1,,1,'buy call'
583,1:?,1:-1,,0.6,'hell would touch right'
584,1:?,1:-1,,0.82,'misses 001misses revenue'
585,1:?,1:-1,,0.659,'aapl using googl cloud'
586,1:?,2:1,,0.99,'pie sky'
587,1:?,2:1,,0.97,'todays strong radar stock'
588,1:?,2:1,,0.55,'went long short acct'
589,1:?,2:1,,0.86,'synergy pharma soars 67 today positive phase 3 results'
590,1:?,2:1,,1,'unusual call activity'
591,1:?,2:1,,0.68,'tight pattern'
592,1:?,2:1,,1,'moved upper bollinger band'
593,1:?,1:-1,,0.76,breaking
594,1:?,2:1,,0.98,'68 calls buying activity'
595,1:?,2:1,,0.59,'could technical sellersshorts getting back game'
596,1:?,2:1,,1,'unusual call activity'
597,1:?,2:1,,0.54,'buying puts tomorrow'
598,1:?,2:1,,0.97,'good opportunity buy'
599,1:?,2:1,,0.62,'today close csx'
600,1:?,1:-1,,0.76,breaking
601,1:?,1:-1,,0.5,'seems strange marketthe way oil controlling markets'
602,1:?,2:1,,1,'top netpayoutyields'
603,1:?,2:1,,0.61,'suggestion puts buy'
604,1:?,1:-1,,0.64,'anyone know whats up big sell'
605,1:?,2:1,,0.98,'3 top japan etfs surge higher 2h'
606,1:?,2:1,,1,'closed buy'
607,1:?,1:-1,,0.85,'bear raid effect'
608,1:?,1:-1,,0.84,'massive short squeeze opportunity'
609,1:?,2:1,,0.7,'teel revenue rises 36 auto sector demand'
610,1:?,2:1,,1,'best stocks 2012'
611,1:?,2:1,,0.7,'board assess alibabasoftbank proposal'
612,1:?,2:1,,0.98,'picking up speed'
613,1:?,2:1,,0.89,'stock ripping'
614,1:?,2:1,,0.92,361
615,1:?,2:1,,0.59,'whole foods market slated open doors may 25'
616,1:?,2:1,,0.89,'1m6m trends turn bullish today'
617,1:?,2:1,,0.88,'citi even reconfirmed outperform'
618,1:?,2:1,,0.79,'homebuilders lead sustained stock market rally'
619,1:?,2:1,,0.95,'full bull call spread ranging'
620,1:?,2:1,,0.66,'not want go downrisk appetite still high'
621,1:?,2:1,,1,'peter smedley reiterates jd sports fashion buy'
622,1:?,2:1,,0.97,'institutions seem like class stocks'
623,1:?,2:1,,0.75,'time embrace dividend growth'
624,1:?,2:1,,0.75,'nobody wants electric car'
625,1:?,2:1,,0.82,'reak hod volumewe nice consolidation completed another run'
626,1:?,2:1,,0.84,'stock climbs barrons sees 40 upside'
627,1:?,2:1,,0.97,'tock way highupgrades positive news expected'
628,1:?,2:1,,0.78,'short squeeze ready upside w crossing important technical level'
629,1:?,1:-1,,0.783,'nlsn launching marketing cloud'
630,1:?,2:1,,0.91,'addding tsla ss added small vrx long tsla vrx'
631,1:?,2:1,,1,'buy call'
632,1:?,1:-1,,0.98,'oil prices down oil stocks looking less cheap'
633,1:?,2:1,,0.92,'whos buying'
634,1:?,2:1,,0.72,'anglo american jumps 9'
635,1:?,2:1,,0.66,'component supplier crus falls sale'
636,1:?,2:1,,0.97,'nice day rally'
637,1:?,2:1,,0.61,'nibbling small longbuying 13min charts'
638,1:?,2:1,,1,'posted buy pm 440'
639,1:?,2:1,,0.7,'fire marissa maye'
640,1:?,2:1,,0.89,'someone buying bighere lows'
641,1:?,2:1,,0.97,'looking good'
642,1:?,2:1,,0.86,'amazing run since middle march'
643,1:?,2:1,,0.84,'generate 895m revenue'
644,1:?,2:1,,0.99,'could lotto winners'
645,1:?,2:1,,1,'piper jeffries raises pti remain long'
646,1:?,2:1,,0.89,'okay understand logic nowoh well helps price go up guess'
647,1:?,2:1,,0.91,'rally fridaynew52weekhighsp 31'
648,1:?,2:1,,0.95,'abc bullish pattern'
649,1:?,2:1,,0.88,'nice pattern al weeklybut pre earnings action thursday needs resolved'
650,1:?,2:1,,0.97,'institutions seem like class stocks'
651,1:?,2:1,,0.97,'lucrative esports opportunity'
652,1:?,2:1,,0.8,'v momentum'
653,1:?,2:1,,1,'225 million new internet users added globally every year'
654,1:?,2:1,,0.98,'equity indexes working positive engulfing march'
655,1:?,2:1,,0.85,'big year amgn'
656,1:?,1:-1,,0.84,'amzn dropping 7b market capbecause theyre losing 400m aapls business'
657,1:?,1:-1,,0.59,'grpn much better day fb'
658,1:?,2:1,,0.58,'launching japan fallthink one fastest launches country date'
659,1:?,2:1,,0.9,'added nxpi'
660,1:?,2:1,,0.75,'going back slowly'
661,1:?,2:1,,1,'added long friday close'
662,1:?,2:1,,0.97,'nice day rally'
663,1:?,2:1,,0.92,'seriously nothing says strong growth like well played'
664,1:?,1:-1,,0.86,'fast 56pc dive'
665,1:?,1:-1,,0.91,'active puts'
666,1:?,1:-1,,0.69,'wanted get morning missed'
667,1:?,2:1,,0.92,'bot 224'
668,1:?,2:1,,0.93,'clearing new 52week high good base'
669,1:?,1:-1,,0.76,'short term consolidation movement higher'
670,1:?,2:1,,0.91,'come party buy thisgonna give solid gains dividend'
671,1:?,1:-1,,0.64,'fb still dog going much lower week'
672,1:?,2:1,,0.83,'kndi china electric car maker china car sales 78'
673,1:?,2:1,,0.92,'holy green day batmanluv plan comes together'
674,1:?,2:1,,0.57,'went 26 66'
675,1:?,1:-1,,0.83,'remember squeeze market di'
676,1:?,2:1,,0.77,'needs make solid break thru current resistance'
677,1:?,1:-1,,1,'sometimes question bother sub 500 stocksretail short sighted'
678,1:?,2:1,,0.86,'rsi lowest level since october 2012'
679,1:?,2:1,,0.89,'announces record esports viewership'
680,1:?,2:1,,1,'huge buy names'
681,1:?,2:1,,0.78,'decent handlepretty tight month'
682,1:?,2:1,,0.93,'sandbagged guidance cautiously optimistic'
683,1:?,2:1,,0.71,'fb 20 times advertisers twtr'
684,1:?,2:1,,0.94,'poised breakout'
685,1:?,2:1,,1,'sdrl 369 long'
686,1:?,2:1,,0.94,'closed friday rs line new highs'
687,1:?,1:-1,,0.77,'gon na start shorting every 10'
688,1:?,2:1,,0.91,'large cap tech finally trying catch up rest market'
689,1:?,2:1,,0.57,'needs rush buyersi like tho'
690,1:?,2:1,,0.95,'juno got good news today'
691,1:?,2:1,,0.88,'room go'
692,1:?,1:-1,,0.5,'dilution dont scare'
693,1:?,2:1,,0.88,'bumped up resistance 3 times 5min'
694,1:?,2:1,,0.76,'iraq boosts oil production record'
695,1:?,2:1,,0.95,'watch momentum above'
696,1:?,1:-1,,0.5,'600 yearly return not ordinary occurrence'
697,1:?,1:-1,,0.96,'gon na short tsla tomorrows opening'
698,1:?,2:1,,0.99,'sign healthy advancing stock stays above 20dma'
699,1:?,1:-1,,0.82,'down big would awesome'
700,1:?,2:1,,0.58,'n great financial position'
701,1:?,2:1,,0.58,'start going up slowly'
702,1:?,1:-1,,0.99,'todays losers'
703,1:?,2:1,,0.95,'breakout longthrough 100 200 masee run'
704,1:?,1:-1,,0.9,'may lower entry point'
705,1:?,2:1,,0.95,'charts flashing oversold'
706,1:?,2:1,,1,long
707,1:?,2:1,,0.72,'trims stake'
708,1:?,2:1,,0.98,'up 1326'
709,1:?,2:1,,0.99,'5 best analyst rated stocks'
710,1:?,1:-1,,0.81,'still notokay lack new products'
711,1:?,2:1,,0.92,'think jazz plenty room run lots momentum continue pushing new highs'
712,1:?,1:-1,,0.9,'dump minor loss'
713,1:?,2:1,,0.89,'lots nice setups energy liking whiting day crzo'
714,1:?,2:1,,0.72,'lets burn'
715,1:?,2:1,,0.71,'beatup ah'
716,1:?,2:1,,0.74,'every time jumps back range'
717,1:?,2:1,,1,'otherwise long'
718,1:?,2:1,,0.51,'bottom right'
719,1:?,2:1,,0.79,accumulating
720,1:?,1:-1,,0.95,'elon musks comparision tsla aapl go notokay '
721,1:?,2:1,,1,trending
722,1:?,1:-1,,0.81,'anyone else see issue wonder ebay stock sucks'
723,1:?,2:1,,1,'unusual call activity'
724,1:?,2:1,,0.99,'green lol makeup cover ugliness'
725,1:?,1:-1,,1,'biggest market losers'
726,1:?,2:1,,1,'unusual call activity'
727,1:?,2:1,,1,'quality stocks high cash returns'
728,1:?,2:1,,1,'play longs'
729,1:?,1:-1,,1,'biggest market losers'
730,1:?,2:1,,0.64,'bmw takes leap ahead tesla'
731,1:?,1:-1,,0.93,'short interest increases yet'
732,1:?,2:1,,0.51,'netflix raising prices 17m subscribers 2'
733,1:?,2:1,,0.98,'covered up last'
734,1:?,2:1,,1,'looking sharp move up equities'
735,1:?,2:1,,0.59,'amgn one year laterim tired waiting'
736,1:?,2:1,,0.94,'cash cheap financing fueling wave acquisitions'
737,1:?,1:-1,,0.9,'juniper tumbles q1 warning'
738,1:?,1:-1,,0.67,'probably hit near term highmomentum slowing huge run'
739,1:?,1:-1,,0.97,'decent notokay'
740,1:?,1:-1,,0.61,'google baidutesla fast track create robot cars'
741,1:?,2:1,,0.97,'cheaper oil introduce shipment higher tanker rates'
742,1:?,2:1,,1,'okay iether'
743,1:?,2:1,,0.94,'amzn up 5 points yesterdays trade entry alert'
744,1:?,1:-1,,0.92,'whats behind drop'
745,1:?,1:-1,,0.84,'pure garbage stock'
746,1:?,2:1,,0.97,'whole semiconductor space looks interesting'
747,1:?,1:-1,,0.78,'sells 109000 shares facebook'
748,1:?,2:1,,0.88,'trails msft orcl goog crm adbe'
749,1:?,1:-1,,1,short
750,1:?,2:1,,0.87,'stock split'
751,1:?,2:1,,0.96,'calls nice gains still holdingweek made morning'
752,1:?,2:1,,0.93,'efficient boring'
753,1:?,2:1,,1,'buy point changed 319 318'
754,1:?,2:1,,0.54,'ibio seems gaining big moneyshorts hurting'
755,1:?,1:-1,,0.66,'im buyer'
756,1:?,2:1,,1,'stocks higher afternoon trade'
757,1:?,2:1,,0.72,'lets burn'
758,1:?,1:-1,,0.74,'im glad got stopped'
759,1:?,2:1,,0.54,'far good bbry not breakcoz told key support level'
760,1:?,2:1,,0.98,'covered call'
761,1:?,2:1,,0.63,'sold half ugaz long'
762,1:?,2:1,,0.77,'100 upside left next 6 mnths'
763,1:?,1:-1,,0.92,'sinking ship'
764,1:?,2:1,,0.63,'jan18 6 put big print'
765,1:?,2:1,,1,longs
766,1:?,2:1,,0.74,'future profits huge'
767,1:?,1:-1,,0.5,'major pump dump coming week'
768,1:?,2:1,,0.92,'biggest st50 gainers'
769,1:?,2:1,,0.66,'wait little longer reentering'
770,1:?,2:1,,0.99,'possible double bottom set up'
771,1:?,1:-1,,0.77,'short week next week'
772,1:?,2:1,,0.96,'breaking 52 week highs timing looks great'
773,1:?,2:1,,0.96,'higher afternoon tradebuy point'
774,1:?,2:1,,0.78,'short squeeze ready upside w crossing important technical level'
775,1:?,2:1,,0.98,'buy area'
776,1:?,1:-1,,0.72,'begin assault intel'
777,1:?,2:1,,0.97,'today bought'
778,1:?,1:-1,,0.65,'analysts conjuring up metrics bring down boost short positions'
779,1:?,2:1,,0.95,'surges deal'
780,1:?,1:-1,,0.57,'pick one would'
781,1:?,2:1,,0.88,'rough climb topmany traders bag holders looking get'
782,1:?,2:1,,1,'stocks higher afternoon trade'
783,1:?,2:1,,0.95,'bullish pennantsymmetrical triangle bo progresslong 266'
784,1:?,1:-1,,0.68,'notokay sure see much tsla  side thus week'
785,1:?,1:-1,,0.52,'one believes flyin anymore'
786,1:?,2:1,,0.7,7324
787,1:?,1:-1,,0.92,'notokay fundementals charts look like poopoo quarter'

